bar_index,datetime_sgt,session,tap1_low,tap2_low,tap3_low,entry_price,sl_price,risk_usd,atr,rsi_at_entry,vol_ratio
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45
6442,2025-05-14 19:00:00+08:00,London,3225.2,3227.7,3232.9,3223.7,3248.78,25.08,10.95,31.6,1.33
7778,2025-08-06 09:00:00+08:00,Pre-London,3431.3,3432.3,3432.4,3431.4,3442.36,10.96,7.93,68.9,0.81
9003,2025-10-22 07:00:00+08:00,Asian,4093.0,4105.0,4112.4,4106.7,4159.45,52.75,37.49,8.4,0.37
9004,2025-10-22 08:00:00+08:00,Pre-London,4093.0,4105.0,4112.4,4088.6,4128.59,39.99,41.99,8.1,1.69
9719,2025-12-06 00:00:00+08:00,Asian,4245.8,4250.0,4251.4,4244.1,4286.16,42.06,18.51,54.6,4.92
10184,2026-01-08 08:00:00+08:00,Pre-London,4432.9,4455.0,4459.9,4459.0,4483.34,24.34,16.27,42.9,0.4
10290,2026-01-14 22:00:00+08:00,New York,4624.7,4628.4,4634.1,4624.5,4654.23,29.73,15.06,54.0,2.56
10593,2026-02-05 10:00:00+08:00,Pre-London,4867.7,4893.9,4936.0,4831.0,5015.16,184.16,66.11,25.6,1.96
10672,2026-02-10 20:00:00+08:00,New York,5032.8,5040.0,5059.9,5054.9,5095.89,40.99,30.38,40.5,1.49
